timestamp,vesc_id,duty_cycle
1753359794.964002132,46,0.0690
1753359794.966861010,28,0.0690
1753359794.984184980,46,0.0690
1753359794.987313509,28,0.0690
1753359795.004364967,46,0.0690
1753359795.006803751,28,0.0690
1753359795.023853064,46,0.0690
1753359795.026789904,28,0.0690
1753359795.043951988,46,0.0690
1753359795.047237158,28,0.0690
1753359795.063799620,46,0.0690
1753359795.066654682,28,0.0690
1753359795.084677219,46,0.0640
1753359795.086616755,28,0.0640
1753359795.103724241,46,0.0630
1753359795.106665373,28,0.0640
1753359795.123610973,46,0.0640
1753359795.126631975,28,0.0640
1753359795.144210100,46,0.0600
1753359795.146590471,28,0.0640
1753359795.163607121,46,0.0640
1753359795.166748524,28,0.0640
1753359795.183601618,46,0.0630
1753359795.186421871,28,0.0640
1753359795.203974485,46,0.0640
1753359795.206683397,28,0.0640
1753359795.223780394,46,0.0640
1753359795.226675749,28,0.0640
1753359795.243376732,46,0.0430
1753359795.246388912,28,0.0640
1753359795.264328480,46,0.0640
1753359795.266381979,28,0.0500
1753359795.283269167,46,0.0590
1753359795.286306620,28,0.0590
1753359795.303324223,46,0.0590
1753359795.306243658,28,0.0590
1753359795.323371410,46,0.0590
1753359795.326741695,28,0.0590
1753359795.343219995,46,0.0470
1753359795.346196175,28,0.0590
1753359795.363317013,46,0.0590
1753359795.366173267,28,0.0590
1753359795.383180380,46,0.0590
1753359795.386714458,28,0.0590
1753359795.403009892,46,0.0590
1753359795.405993938,28,0.0590
1753359795.423179865,46,0.0590
1753359795.425977230,28,0.0590
1753359795.442881107,46,0.0590
1753359795.445972443,28,0.0590
1753359795.462893248,46,0.0590
1753359795.465920210,28,0.0590
1753359795.483038187,46,0.0540
1753359795.486423492,28,0.0540
1753359795.502788544,46,0.0540
1753359795.505876064,28,0.0540
1753359795.522862911,46,0.0360
1753359795.525746346,28,0.0540
1753359795.543098688,46,0.0540
1753359795.546052456,28,0.0540
1753359795.562695026,46,0.0540
1753359795.565759420,28,0.0520
1753359795.583179712,46,0.0540
1753359795.585702896,28,0.0540
1753359795.602979898,46,0.0540
1753359795.605938196,28,0.0540
1753359795.622678995,46,0.0540
1753359795.625616789,28,0.0540
1753359795.642396450,46,0.0540
1753359795.645588636,28,0.0540
1753359795.662400484,46,0.0540
1753359795.665541172,28,0.0540
1753359795.682262182,46,0.0490
1753359795.685437679,28,0.0490
1753359795.702187777,46,0.0490
1753359795.705456734,28,0.0490
1753359795.722244501,46,0.0490
1753359795.725861549,28,0.0490
1753359795.742224932,46,0.0490
1753359795.745714188,28,0.0490
1753359795.762490034,46,0.0490
1753359795.765668869,28,0.0490
1753359795.782079458,46,0.0490
1753359795.785240650,28,0.0490
1753359795.802407265,46,0.0490
1753359795.805568695,28,0.0490
1753359795.822289228,46,0.0440
1753359795.825379133,28,0.0490
1753359795.841978312,46,0.0490
1753359795.845125675,28,0.0490
1753359795.862238646,46,0.0490
1753359795.865183830,28,0.0490
1753359795.882702827,46,0.0440
1753359795.885388613,28,0.0440
1753359795.901840210,46,0.0440
1753359795.905133724,28,0.0210
1753359795.922058821,46,0.0440
1753359795.925136805,28,0.0410
1753359795.941723824,46,0.0440
1753359795.945025206,28,0.0440
1753359795.961719036,46,0.0440
1753359795.964888811,28,0.0440
1753359795.982001781,46,0.0440
1753359795.985153437,28,0.0440
1753359796.001632690,46,0.0440
1753359796.004861116,28,0.0440
1753359796.021858454,46,0.0440
1753359796.024933100,28,0.0440
1753359796.041718721,46,0.0440
1753359796.044870138,28,0.0440
1753359796.061466455,46,0.0440
1753359796.064800501,28,0.0440
1753359796.081716776,46,0.0390
1753359796.085129023,28,0.0390
1753359796.101404190,46,0.0390
1753359796.104767561,28,0.0390
1753359796.121322870,46,0.0370
1753359796.124622345,28,0.0390
1753359796.141718864,46,0.0390
1753359796.145006657,28,0.0340
1753359796.161212444,46,0.0390
1753359796.164954185,28,0.0380
1753359796.181510448,46,0.0390
1753359796.184565544,28,0.0250
1753359796.201587439,46,0.0390
1753359796.204721689,28,0.0390
1753359796.221077442,46,0.0390
1753359796.224712372,28,0.0390
1753359796.241460323,46,0.0390
1753359796.244699955,28,0.0390
1753359796.261853933,46,0.0390
1753359796.264365911,28,0.0390
1753359796.280811548,46,0.0340
1753359796.284370422,28,0.0340
1753359796.301326513,46,0.0340
1753359796.304711342,28,0.0340
1753359796.320948362,46,0.0340
1753359796.324286461,28,0.0340
1753359796.341083765,46,0.0340
1753359796.344273329,28,0.0340
1753359796.361199617,46,0.0340
1753359796.364469528,28,0.0340
1753359796.381013870,46,0.0340
1753359796.384305000,28,0.0340
1753359796.401093960,46,0.0340
1753359796.404389620,28,0.0340
1753359796.420948505,46,0.0340
1753359796.424615622,28,0.0340
1753359796.440494299,46,0.0160
1753359796.443964720,28,0.0340
1753359796.460937977,46,0.0340
1753359796.464276791,28,0.0340
1753359796.480344772,46,0.0290
1753359796.483976364,28,0.0290
1753359796.500481606,46,0.0290
1753359796.503933191,28,0.0290
1753359796.520610809,46,0.0270
1753359796.524120331,28,0.0290
1753359796.540276051,46,0.0290
1753359796.543831825,28,0.0290
1753359796.560247660,46,0.0270
1753359796.563832045,28,0.0290
1753359796.580838680,46,0.0290
1753359796.584219694,28,0.0290
1753359796.600190878,46,0.0290
1753359796.603884459,28,0.0290
1753359796.620177984,46,0.0290
1753359796.624043465,28,0.0290
1753359796.640147924,46,0.0290
1753359796.644354105,28,0.0290
1753359796.660100460,46,0.0290
1753359796.663566589,28,0.0290
1753359796.679876566,46,0.0240
1753359796.683610916,28,0.0240
1753359796.699972868,46,0.0150
1753359796.704144239,28,0.0240
1753359796.720085859,46,0.0240
1753359796.723569155,28,0.0240
1753359796.740333080,46,0.0240
1753359796.743728399,28,0.0240
1753359796.759790897,46,0.0240
1753359796.763401747,28,0.0240
1753359796.780207634,46,0.0240
1753359796.783471584,28,0.0180
1753359796.799843073,46,0.0240
1753359796.803363085,28,0.0240
1753359796.819672823,46,0.0240
1753359796.823301792,28,0.0230
1753359796.839920044,46,0.0200
1753359796.843480825,28,0.0240
1753359796.859718323,46,0.0240
1753359796.863460302,28,0.0240
1753359796.879889250,46,0.0240
1753359796.883236408,28,0.0190
1753359796.899989605,46,0.0040
1753359796.903365374,28,0.0190
1753359796.919479847,46,0.0190
1753359796.924199343,28,0.0190
1753359796.939805984,46,0.0190
1753359796.943360090,28,0.0170
1753359796.959268093,46,0.0180
1753359796.963048220,28,0.0190
1753359796.979403973,46,0.0190
1753359796.983142614,28,0.0190
1753359796.999800920,46,0.0190
1753359797.003228188,28,0.0190
1753359797.020046234,46,0.0190
1753359797.023656607,28,0.0190
1753359797.039159536,46,0.0190
1753359797.042787313,28,0.0100
1753359797.059401512,46,0.0190
1753359797.063246250,28,0.0190
1753359797.079138041,46,0.0090
1753359797.082854033,28,0.0140
1753359797.099364281,46,0.0140
1753359797.102744341,28,0.0100
1753359797.118839502,46,0.0140
1753359797.123241663,28,0.0140
1753359797.138952494,46,0.0140
1753359797.142656803,28,0.0140
1753359797.159291029,46,0.0140
1753359797.162904501,28,0.0140
1753359797.178907871,46,0.0140
1753359797.183517456,28,0.0140
1753359797.198684692,46,0.0140
1753359797.202489138,28,0.0140
