timestamp,vesc_id,tachometer_raw
1753360023.966736794,28,10152
1753360023.981409788,46,10180
1753360023.986919165,28,10155
1753360024.001665592,46,10183
1753360024.006875992,28,10158
1753360024.021250486,46,10186
1753360024.026867151,28,10161
1753360024.041203976,46,10189
1753360024.046823025,28,10164
1753360024.061152458,46,10192
1753360024.066781759,28,10167
1753360024.081381321,46,10194
1753360024.087418079,28,10170
1753360024.101131439,46,10197
1753360024.106862068,28,10173
1753360024.120910406,46,10200
1753360024.126579046,28,10176
1753360024.141126156,46,10203
1753360024.146588087,28,10179
1753360024.161100149,46,10206
1753360024.166678667,28,10182
1753360024.181040525,46,10209
1753360024.186511517,28,10185
1753360024.200770378,46,10212
1753360024.206418991,28,10188
1753360024.220731735,46,10215
1753360024.226628304,28,10190
1753360024.240727901,46,10217
1753360024.246421576,28,10193
1753360024.260982752,46,10220
1753360024.266495466,28,10196
1753360024.280585527,46,10223
1753360024.286369801,28,10199
1753360024.300612926,46,10226
1753360024.306374311,28,10202
1753360024.320557356,46,10228
1753360024.326259851,28,10205
1753360024.340482235,46,10231
1753360024.346133709,28,10207
1753360024.360765457,46,10234
1753360024.366164207,28,10210
1753360024.380394936,46,10237
1753360024.386163950,28,10213
1753360024.400359392,46,10240
1753360024.406285286,28,10216
1753360024.420593977,46,10242
1753360024.426093102,28,10218
1753360024.440712452,46,10245
1753360024.446295261,28,10221
1753360024.460139275,46,10248
1753360024.466025114,28,10224
1753360024.480240345,46,10250
1753360024.485956192,28,10227
1753360024.500246048,46,10253
1753360024.506282330,28,10230
1753360024.520040512,46,10256
1753360024.525812387,28,10232
1753360024.540021181,46,10259
1753360024.546193600,28,10235
1753360024.559973478,46,10261
1753360024.565829515,28,10238
1753360024.580244064,46,10264
1753360024.585845709,28,10241
1753360024.599929333,46,10267
1753360024.605877876,28,10243
1753360024.619751215,46,10269
1753360024.625674486,28,10246
1753360024.639821529,46,10272
1753360024.645615578,28,10248
1753360024.659656525,46,10274
1753360024.665628910,28,10251
1753360024.679635525,46,10277
1753360024.685980082,28,10254
1753360024.699575186,46,10280
1753360024.705557346,28,10257
1753360024.719632149,46,10282
1753360024.725417614,28,10259
1753360024.739597321,46,10285
1753360024.745399952,28,10262
1753360024.759753466,46,10287
1753360024.765755415,28,10264
1753360024.779460907,46,10290
1753360024.785329103,28,10267
1753360024.799418449,46,10293
1753360024.805321217,28,10270
1753360024.819281816,46,10295
1753360024.825323343,28,10272
1753360024.839234829,46,10298
1753360024.845198631,28,10275
1753360024.859278440,46,10300
1753360024.865231037,28,10278
1753360024.879215479,46,10303
1753360024.885121346,28,10280
1753360024.899145842,46,10305
1753360024.905189991,28,10282
1753360024.919087887,46,10308
1753360024.925140142,28,10285
1753360024.938990593,46,10310
1753360024.945213795,28,10288
1753360024.958985329,46,10313
1753360024.965155125,28,10290
1753360024.978883982,46,10315
1753360024.985100985,28,10293
1753360024.998976231,46,10318
1753360025.005218029,28,10295
1753360025.019159555,46,10320
1753360025.025122881,28,10297
1753360025.038750887,46,10323
1753360025.044996977,28,10300
1753360025.058685541,46,10325
1753360025.064970493,28,10303
1753360025.078890562,46,10327
1753360025.084917068,28,10305
1753360025.098619699,46,10330
1753360025.104973316,28,10307
1753360025.118695498,46,10332
1753360025.124878645,28,10310
1753360025.138519764,46,10335
1753360025.144890785,28,10312
1753360025.158571243,46,10337
1753360025.164781094,28,10315
1753360025.179477453,46,10339
1753360025.184818506,28,10317
1753360025.198356152,46,10342
1753360025.204678774,28,10319
1753360025.218315125,46,10344
1753360025.224638939,28,10322
1753360025.238565683,46,10346
1753360025.244718790,28,10324
1753360025.258334875,46,10349
1753360025.264912367,28,10326
1753360025.278228045,46,10351
1753360025.285035849,28,10329
1753360025.298265457,46,10353
1753360025.304464817,28,10331
1753360025.318853855,46,10356
1753360025.324724674,28,10333
1753360025.338078022,46,10358
1753360025.344509125,28,10336
1753360025.358009338,46,10360
1753360025.364322186,28,10338
1753360025.377940416,46,10363
1753360025.384334326,28,10340
1753360025.397914171,46,10365
1753360025.404386759,28,10343
1753360025.417952061,46,10367
1753360025.424610376,28,10345
1753360025.437848806,46,10369
1753360025.444345713,28,10347
1753360025.457921743,46,10371
1753360025.464139223,28,10349
1753360025.477729559,46,10374
