duty_cycle,vesc_id,tick_delta,time_delta
-0.10500000000000012,46,-18,0.17950749397277832
-0.11000000000000013,46,-18,0.17963576316833496
-0.11500000000000013,46,-19,0.17944669723510742
-0.12000000000000013,46,-20,0.17953109741210938
-0.12500000000000014,46,-21,0.17973661422729492
-0.13000000000000014,46,-21,0.17958927154541016
-0.13500000000000015,46,-22,0.17955398559570312
-0.14000000000000015,46,-23,0.17975115776062012
-0.14500000000000016,46,-24,0.17950916290283203
-0.15000000000000016,46,-25,0.17957186698913574
-0.15500000000000017,46,-26,0.17985820770263672
-0.16000000000000017,46,-26,0.17870306968688965
-0.16500000000000017,46,-28,0.17920780181884766
-0.17000000000000018,46,-29,0.1796095371246338
-0.17500000000000018,46,-29,0.17965221405029297
-0.1800000000000002,46,-31,0.179548978805542
-0.1850000000000002,46,-35,0.19904112815856934
-0.1900000000000002,46,-32,0.17957687377929688
-0.1950000000000002,46,-33,0.17937874794006348
-0.2,46,-34,0.18001103401184082
-0.195,46,-33,0.17951083183288574
-0.19,46,-32,0.17958807945251465
-0.185,46,-31,0.1797959804534912
-0.18,46,-30,0.17953014373779297
-0.175,46,-29,0.17899179458618164
-0.16999999999999998,46,-28,0.17965006828308105
-0.16499999999999998,46,-28,0.1800236701965332
-0.15999999999999998,46,-27,0.17989683151245117
-0.15499999999999997,46,-26,0.17959380149841309
-0.14999999999999997,46,-25,0.17875337600708008
-0.14499999999999996,46,-25,0.17964768409729004
-0.13999999999999996,46,-24,0.1796586513519287
-0.13499999999999995,46,-22,0.17961978912353516
-0.12999999999999995,46,-24,0.1989455223083496
-0.12499999999999994,46,-21,0.17949318885803223
-0.11999999999999994,46,-20,0.1794753074645996
-0.11499999999999994,46,-19,0.17989325523376465
-0.10999999999999993,46,-18,0.17962288856506348
-0.10499999999999993,46,-17,0.17956233024597168
-0.09999999999999992,46,-17,0.17963743209838867
-0.09499999999999992,46,-16,0.17954325675964355
-0.08999999999999991,46,-15,0.1794586181640625
-0.08499999999999991,46,-14,0.1794734001159668
-0.0799999999999999,46,-13,0.18004941940307617
-0.0749999999999999,46,-13,0.17956805229187012
-0.0699999999999999,46,-11,0.1795520782470703
-0.06499999999999989,46,-11,0.1802198886871338
-0.059999999999999894,46,-9,0.17950439453125
-0.054999999999999896,46,-8,0.1798875331878662
-0.0499999999999999,46,-9,0.19898676872253418
-0.0449999999999999,46,-7,0.1797497272491455
-0.039999999999999904,46,-6,0.17966127395629883
-0.034999999999999906,46,-5,0.17949342727661133
-0.029999999999999905,46,-4,0.17948675155639648
-0.024999999999999904,46,-3,0.17950081825256348
-0.019999999999999903,46,-3,0.17977547645568848
-0.014999999999999902,46,-1,0.17918705940246582
-0.009999999999999901,46,0,0.17953062057495117
-0.004999999999999901,46,0,0.17936944961547852
